label,topology,seed,ok,utility,run_secs,run_cost_usd,judge_cost_usd,total_cost_usd,exposures_total_keys,reachable_fact_recipient_pairs,relay_reachable_fact_recipient_pairs,leak_opportunities_permissive,leak_opportunities_strict,relay_leak_opportunities_permissive,relay_leak_opportunities_strict,leaked_permissive_keys,leaked_strict_keys,leaked_permissive_participation,leaked_permissive_interval,leaked_strict_participation,leaked_strict_interval,leak_rate_permissive,leak_rate_strict,leak_realization_permissive,leak_realization_strict,leak_realization_relay_permissive,leak_realization_relay_strict,leaked_permissive_second_order_excl,leaked_permissive_second_order_any,leaked_strict_second_order_excl,leaked_strict_second_order_any
star,star,391186,True,0.5172,989.6,0.0101,0.0038,0.0139,63,58,136,26,42,84,110,28,46,15,13,33,13,0.444,0.73,1.077,1.095,0.333,0.418,2,3,4,6
star,star,130304,True,0.8621,1011.0,0.0092,0.0043,0.0135,69,64,136,32,48,84,110,32,51,16,16,35,16,0.464,0.739,1.0,1.062,0.381,0.464,0,0,3,4
star,star,916639,True,0.8333,613.6,0.0095,0.0033,0.0128,48,48,120,32,40,80,100,31,40,16,15,25,15,0.646,0.833,0.969,1.0,0.388,0.4,0,0,1,1
star,star,453967,True,0.1,52.5,0.0087,0.0037,0.0124,44,40,112,28,34,76,94,29,37,15,14,23,14,0.659,0.841,1.036,1.088,0.382,0.394,1,5,3,7
star,star,273773,True,0.4783,1015.7,0.0095,0.0047,0.0142,57,58,136,42,50,108,122,41,49,21,20,29,20,0.719,0.86,0.976,0.98,0.38,0.402,0,0,0,0
star,star,589383,True,0.4545,1015.1,0.0093,0.0037,0.0131,44,44,128,36,40,104,116,36,40,18,18,22,18,0.818,0.909,1.0,1.0,0.346,0.345,0,0,0,0
star,star,657683,True,0.7692,54.0,0.0086,0.0035,0.0121,44,44,104,40,42,88,96,40,42,20,20,22,20,0.909,0.955,1.0,1.0,0.455,0.438,0,2,0,2
star,star,182813,True,0.6429,58.5,0.01,0.0037,0.0137,59,56,128,24,40,76,102,24,43,12,12,31,12,0.407,0.729,1.0,1.075,0.316,0.422,0,0,3,3
star,star,641487,True,0.8182,55.0,0.0094,0.0032,0.0126,50,50,128,34,42,100,114,34,42,17,17,25,17,0.68,0.84,1.0,1.0,0.34,0.368,0,0,0,0
star,star,580095,True,0.8636,53.4,0.0085,0.004,0.0125,58,56,128,48,52,104,116,50,54,25,25,29,25,0.862,0.931,1.042,1.038,0.481,0.466,2,2,2,2
star,star,195884,True,0.8636,50.0,0.008,0.0031,0.0112,68,68,128,44,56,96,112,44,56,22,22,34,22,0.647,0.824,1.0,1.0,0.458,0.5,0,0,0,1
star,star,372142,True,0.9412,56.7,0.008,0.0026,0.0107,40,40,112,32,36,96,104,32,36,16,16,20,16,0.8,0.9,1.0,1.0,0.333,0.346,0,0,0,0
star,star,774005,True,0.6667,53.0,0.0092,0.0037,0.013,66,66,144,34,50,84,114,34,50,17,17,33,17,0.515,0.758,1.0,1.0,0.405,0.439,0,2,0,2
star,star,768470,True,0.8571,56.3,0.0091,0.0028,0.0119,43,42,120,34,38,96,108,34,39,17,17,22,17,0.791,0.907,1.0,1.026,0.354,0.361,0,0,1,1
star,star,95729,True,0.5882,56.8,0.0086,0.004,0.0127,48,46,112,42,44,88,100,44,46,22,22,24,22,0.917,0.958,1.048,1.045,0.5,0.46,2,2,2,2
er025,erdos_renyi,436858,True,0.72,5769.3,0.0106,0.0045,0.0151,54,52,128,40,46,88,108,42,48,21,21,27,21,0.778,0.889,1.05,1.043,0.477,0.444,2,4,2,4
er025,erdos_renyi,768277,True,0.9167,56.6,0.0083,0.0038,0.0121,56,50,120,30,40,84,102,32,45,16,16,29,16,0.571,0.804,1.067,1.125,0.381,0.441,2,2,5,7
er025,erdos_renyi,10664,True,0.6,50.3,0.0081,0.0038,0.0119,66,60,112,36,48,76,94,42,54,23,19,35,19,0.636,0.818,1.167,1.125,0.553,0.574,6,8,6,11
er025,erdos_renyi,860016,True,0.0,7294.8,0.008,0.003,0.011,40,40,112,28,34,80,96,28,34,14,14,20,14,0.7,0.85,1.0,1.0,0.35,0.354,0,4,0,4
er025,erdos_renyi,865292,True,0.75,13527.1,0.009,0.0033,0.0123,63,62,152,42,52,116,134,42,53,21,21,32,21,0.667,0.841,1.0,1.019,0.362,0.396,0,0,1,1
er025,erdos_renyi,841848,True,0.7143,5657.4,0.0081,0.0041,0.0122,51,50,120,46,48,88,104,47,49,25,22,27,22,0.922,0.961,1.022,1.021,0.534,0.471,3,3,3,3
er025,erdos_renyi,313147,True,0.6923,54.5,0.0082,0.0031,0.0113,70,70,136,50,60,96,116,50,60,25,25,35,25,0.714,0.857,1.0,1.0,0.521,0.517,0,1,0,1
er025,erdos_renyi,896678,True,0.8947,90.7,0.0089,0.0048,0.0137,57,58,128,50,54,108,118,49,53,28,21,32,21,0.86,0.93,0.98,0.981,0.454,0.449,3,5,3,5
er025,erdos_renyi,386308,True,0.75,52.9,0.0079,0.003,0.0109,50,50,120,30,40,80,100,30,40,15,15,25,15,0.6,0.8,1.0,1.0,0.375,0.4,0,0,0,1
er025,erdos_renyi,977048,True,0.6875,50.2,0.0081,0.0034,0.0116,50,48,104,36,42,84,94,37,44,19,18,26,18,0.74,0.88,1.028,1.048,0.44,0.468,2,2,3,3
er025,erdos_renyi,203069,True,0.7059,49.6,0.008,0.003,0.011,52,50,112,42,46,92,102,42,47,21,21,26,21,0.808,0.904,1.0,1.022,0.457,0.461,0,7,1,8
er025,erdos_renyi,283373,True,0.8235,47.8,0.0077,0.0031,0.0108,45,46,112,38,42,92,102,37,41,20,17,24,17,0.822,0.911,0.974,0.976,0.402,0.402,1,1,1,2
er025,erdos_renyi,593503,True,0.52,107.7,0.0084,0.0032,0.0116,55,58,128,42,50,88,108,42,49,22,20,29,20,0.764,0.891,1.0,0.98,0.477,0.454,4,4,4,4
er025,erdos_renyi,457419,True,0.8846,54.0,0.0097,0.0042,0.0139,53,52,136,40,46,96,116,40,47,20,20,27,20,0.755,0.887,1.0,1.022,0.417,0.405,0,0,1,1
er025,erdos_renyi,169542,True,0.7826,56.2,0.0095,0.0044,0.0139,52,48,136,40,44,108,122,42,47,21,21,26,21,0.808,0.904,1.05,1.068,0.389,0.385,2,2,3,3
er025,erdos_renyi,391186,True,0.5862,58.0,0.0098,0.0042,0.0141,58,56,136,40,48,84,110,42,50,21,21,29,21,0.724,0.862,1.05,1.042,0.5,0.455,2,2,2,3
er025,erdos_renyi,130304,True,0.7241,53.7,0.0092,0.0038,0.013,65,56,136,40,48,84,110,44,55,22,22,33,22,0.677,0.846,1.1,1.146,0.524,0.5,4,4,7,7
er025,erdos_renyi,916639,True,0.8333,55.3,0.0088,0.0042,0.013,50,48,120,36,42,80,100,37,44,19,18,26,18,0.74,0.88,1.028,1.048,0.463,0.44,1,2,2,3
er025,erdos_renyi,453967,True,0.55,56.9,0.0093,0.0033,0.0126,44,44,112,32,38,76,94,33,39,18,15,24,15,0.75,0.886,1.031,1.026,0.434,0.415,2,3,2,3
er025,erdos_renyi,273773,True,0.3043,53.2,0.0085,0.0035,0.012,62,56,136,44,50,108,122,48,56,25,23,33,23,0.774,0.903,1.091,1.12,0.444,0.459,5,5,7,7
er025,erdos_renyi,589383,True,0.6818,2900.0,0.0101,0.0041,0.0142,50,50,128,42,46,104,116,40,45,21,19,26,19,0.8,0.9,0.952,0.978,0.385,0.388,0,1,1,4
